fusion,classifier,class,precision,recall,f1,support
LateFusion_Learned,LogReg,COAD,0.9850746268656716,0.9924812030075187,0.9887640449438202,133
LateFusion_Learned,LogReg,KIRC,0.9924242424242424,0.9849624060150376,0.9886792452830189,133
LateFusion_Learned,LogReg,LIHC,0.9776119402985075,0.9849624060150376,0.9812734082397003,133
LateFusion_Learned,LogReg,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
LateFusion_Learned,LogReg,THCA,1.0,0.9924812030075187,0.9962264150943396,133
LateFusion_Learned,SVM,BRCA,0.9851851851851852,0.9925373134328358,0.9888475836431226,134
LateFusion_Learned,SVM,COAD,0.9632352941176471,0.9849624060150376,0.9739776951672863,133
LateFusion_Learned,SVM,KIRC,0.9923664122137404,0.9774436090225563,0.9848484848484849,133
LateFusion_Learned,SVM,LIHC,0.9776119402985075,0.9849624060150376,0.9812734082397003,133
LateFusion_Learned,SVM,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
LateFusion_Learned,SVM,THCA,1.0,0.9849624060150376,0.9924242424242424,133
LateFusion_Learned,XGBoost,BRCA,0.9703703703703703,0.9776119402985075,0.9739776951672863,134
LateFusion_Learned,XGBoost,COAD,0.9847328244274809,0.9699248120300752,0.9772727272727273,133
LateFusion_Learned,XGBoost,KIRC,0.9705882352941176,0.9924812030075187,0.9814126394052045,133
LateFusion_Learned,XGBoost,LIHC,0.9847328244274809,0.9699248120300752,0.9772727272727273,133
LateFusion_Learned,XGBoost,LUAD,0.9851851851851852,0.9925373134328358,0.9888475836431226,134
LateFusion_Learned,XGBoost,THCA,1.0,0.9924812030075187,0.9962264150943396,133
