project,case_id,rna_file_id,rna_file_name,meth_file_id,meth_file_name
TCGA-BRCA,095c7985-3842-494f-b591-706ad1cd2133,81f86e31-55db-4483-b6e0-55451ffbd1db,a31cd337-8f1a-451d-9b90-b722590d3105.rna_seq.augmented_star_gene_counts.tsv,4bbaa7a4-ccef-4e6e-883e-d8276f429def,c84877aa-f986-41cf-aefd-31c789004d26.methylation_array.sesame.level3betas.txt
TCGA-BRCA,09a5e9fd-d816-4f8c-baa9-0e40ba607b16,4ed31cce-6d4f-4c79-a4e4-80eaedd1c4d2,5b6b8058-474f-4a6a-84c6-0eab99e3b2d3.rna_seq.augmented_star_gene_counts.tsv,0d158e1c-6d1e-49ee-9d84-29dee3cda584,c338bd02-dca8-4d3a-9989-23ad908ddf80.methylation_array.sesame.level3betas.txt
TCGA-BRCA,09d6e904-7184-4788-8a19-04f8c46cb13f,6c7f9fc6-3dba-4605-9f0c-d4f00095352f,4ee78309-dea3-486f-95a8-ca283a1b70d9.rna_seq.augmented_star_gene_counts.tsv,be4e513b-0dbc-44bd-8df2-552968b63a43,74c47717-53c8-4c44-8328-bdba9db3bcae.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0a229f95-0ea1-4d63-953e-74f5ec2f3028,16ffdede-3d07-431a-a4ed-318c7a66c096,42ed2e82-e41d-4e2e-8bf3-8dfc324b040f.rna_seq.augmented_star_gene_counts.tsv,66650c3e-5bd8-4264-a465-30b4c556e3ed,1dc5240a-ec06-451e-937e-010e1cd46067.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0b0f9938-ce1e-4814-8821-0132d137eb9e,8e60d7c9-0fee-415f-b7bd-072f1bcd0fac,bf67d13e-231c-4cb7-8381-fb19c4fe90ed.rna_seq.augmented_star_gene_counts.tsv,83be00f0-f054-41bc-a8fa-f13628d3d6ab,f133d3fb-bddc-4a84-b48d-ef8597e8966d.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0b172e29-6166-4863-803d-a0a010887c11,6df72103-ccfb-4a53-b839-2e8c47ec2145,b4e60c29-6c4d-49b4-878e-b91e20e17dad.rna_seq.augmented_star_gene_counts.tsv,20e37641-fdd0-4358-aa90-a4d21fea37e6,582284a7-80bd-4ffe-9bf7-da8800ab2fd8.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0b23b5fe-6c7e-4297-bc55-f93fcb830ac4,e3a49d98-c7d6-45a1-a8cb-33bab31186c2,93f8d395-2512-41fc-992e-236b706dd281.rna_seq.augmented_star_gene_counts.tsv,b7f0cde9-7a4d-4b44-9a2e-d670e4f891ed,443861a5-e868-4d04-854d-fcf47bbeb5d0.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0bc5744c-5fa3-45bb-87d0-70a02068b392,1479c033-ebe7-423d-8460-bbe84fd5ffb6,967fde0b-9c38-4c69-97f2-9640ebe1dc9a.rna_seq.augmented_star_gene_counts.tsv,40e18b08-eec7-4144-b4df-53faf46cb45d,31803422-7ded-4651-ab38-652d5ff99cd3.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0bf6e772-1aa1-4f54-9a50-c1414e2f22f3,b8c05229-16e4-4888-9f44-556c5570a4af,1a3dcc95-64bf-4886-9807-9511b24f30af.rna_seq.augmented_star_gene_counts.tsv,fb6ceb43-7c6a-4709-bb20-a13fc1879b23,648d4780-8dab-4abf-b2e1-22c26413b8e2.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0c1023c0-d2ce-4940-8047-7642f1dc3965,519039a7-141e-4367-a6eb-e9307136daf3,4b9da1a6-923c-4bc8-922a-620ac43e6f9b.rna_seq.augmented_star_gene_counts.tsv,41cbcad8-a9e0-41df-a913-1e09fc1362de,994382a9-cee5-4bf5-bb2b-e6fe35c1a249.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0c23c380-363c-474d-b64c-b47f612a8225,0d669e80-cb31-4afb-bd3f-07d69f10eb3f,27f20469-cbf5-417f-922a-19cf9e8b790c.rna_seq.augmented_star_gene_counts.tsv,d48ed332-a716-46d7-a98a-a2a0ef94cc0b,8c0cdff1-94a5-4e14-a7ff-4ed660d13312.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0cf0d67c-2f7f-42a6-94f3-407d0ec46c88,eff9c23b-fc85-403c-8e88-86b4def8ced1,e7c2b898-cd11-42a1-b309-b4de1ab01965.rna_seq.augmented_star_gene_counts.tsv,c4d5be93-ba5b-4584-a848-61f303aa473a,258a2c7f-93e3-4106-9435-b80bd6493e02.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0d03055c-186b-418a-b614-e2035757bc3b,20110ed9-8b45-4a62-bd13-e0281915a06b,c6151c87-ab96-49c3-a250-b56211cd20e5.rna_seq.augmented_star_gene_counts.tsv,6b8e4926-0dda-4273-8556-87f737e1480c,647d0295-a3aa-4df2-8c0a-4461e5b006be.methylation_array.sesame.level3betas.txt
TCGA-BRCA,0d146997-cfdc-4587-888c-e876fc455c80,c8b0b391-320c-4fea-9b68-3070103cb148,508e541e-c751-42cd-8f8c-a57a835daf1b.rna_seq.augmented_star_gene_counts.tsv,991d441b-aa84-4ff3-b5f7-36448224a658,76e9cd4b-3d5b-4e4c-b706-a8d15ce8d513.methylation_array.sesame.level3betas.txt
